id,place,magnitude,time,latitude,longitude,depth
nc74019286,"10 km NW of The Geysers, CA",1.2,2024-03-18 10:37:43.020,38.8373337,-122.8353348,2.06
nc74019281,"7 km NW of The Geysers, CA",0.76,2024-03-18 10:35:16.700,38.8258324,-122.8059998,1.55
nn00874979,"46 km ESE of Beatty, Nevada",-0.3,2024-03-18 10:33:19.815,36.7531,-116.2745,8.9
ci40688832,"15 km SSW of Searles Valley, CA",0.66,2024-03-18 10:31:36.740,35.6438333,-117.4641667,7.55
ci40688824,"12 km NNW of Ocotillo, CA",1.21,2024-03-18 10:23:29.520,32.8346667,-116.0353333,8.97
ci40688816,"12 km NNW of Ocotillo, CA",0.9,2024-03-18 10:21:27.130,32.8341667,-116.0363333,9.58
nn00874962,"57 km SW of Rachel, Nevada",0.4,2024-03-18 10:20:49.657,37.255,-116.1688,5.5
nn00874961,"57 km SW of Rachel, Nevada",0.1,2024-03-18 10:20:32.224,37.2536,-116.1664,6.0
ak0243l5yevv,"44 km SE of Denali National Park, Alaska",1.5,2024-03-18 10:14:03.796,63.2863,-151.0498,8.9
us6000mjk7,"80 km WSW of Puerto Cortés, Costa Rica",4.5,2024-03-18 10:08:56.060,8.5745,-84.1483,11.836
nc74019276,"10 km NW of The Geysers, CA",0.8,2024-03-18 10:05:36.260,38.838501,-122.8324966,1.57
nn00874951,"46 km ESE of Beatty, Nevada",0.0,2024-03-18 10:05:01.189,36.7504,-116.279,8.8
nc74019266,"9 km NW of The Geysers, CA",2.12,2024-03-18 10:00:36.970,38.8356667,-122.8320007,2.15
nc74019261,"2 km NW of Alamo, CA",1.38,2024-03-18 09:58:29.460,37.8618317,-122.0465012,7.96
nn00874950,"46 km ESE of Beatty, Nevada",-0.1,2024-03-18 09:56:42.288,36.7531,-116.2761,8.7
uw61990221,"5 km NNE of Verlot, Washington",0.77,2024-03-18 09:56:27.680,48.13516666666666,-121.7495,3.84
nc74019256,"6 km NW of The Geysers, CA",0.44,2024-03-18 09:56:16.780,38.8105011,-122.8148346,3.2
ci40688808,"5 km WNW of Aguanga, CA",1.5,2024-03-18 09:49:32.060,33.4631667,-116.915,13.83
nc74019251,"7 km WNW of The Geysers, CA",1.07,2024-03-18 09:42:37.700,38.8133316,-122.8273315,1.86
nc74019246,"9 km NW of The Geysers, CA",2.17,2024-03-18 09:41:13.010,38.8348351,-122.8321686,2.34
us6000mjk4,"133 km E of Bitung, Indonesia",4.9,2024-03-18 09:35:16.448,1.5389,126.3267,46.59
ci40688800,"13 km WNW of Anza, CA",0.09,2024-03-18 09:33:23.460,33.5978333,-116.8075,6.89
nn00874969,"57 km SW of Rachel, Nevada",0.1,2024-03-18 09:32:50.367,37.2547,-116.1643,5.7
nc74019241,"21 km NE of San Ardo, CA",0.96,2024-03-18 09:27:59.480,36.176,-120.764,7.47
hv74140362,"13 km E of Pāhala, Hawaii",1.82,2024-03-18 09:26:17.930,19.2048333333333,-155.352666666667,34.01
us6000mjk0,"38 km E of La Tirana, Chile",4.4,2024-03-18 09:23:31.171,-20.3844,-69.2914,126.55
pr71443243,"0 km NNE of Magas Arriba, Puerto Rico",2.11,2024-03-18 08:57:57.420,18.0241666666667,-66.766,14.6
